aggregation_level,seed,event_index,opaque_edit,scope_status,profile,subset,n,on_num,on_rate,base_correct_num,base_correct_rate,forced_correct_num,forced_correct_rate,gated_correct_num,gated_correct_rate,forced_damage_num,gated_damage_num,damage_den,forced_damage_avoided_num,forced_damage_avoided_den,forced_damage_avoided_rate,gate_rejected_correct_positive_num,gate_rejected_correct_positive_den,off_count,real_replay_count,cached_reuse_count
EDIT_SEED,20260906,1,01223e258bbc7a1f,HARD_EVALUABLE,ALT,broad_unrelated_source_qa,15,0,0.0,12,0.8,13,0.8666666666666667,12,0.8,0,0,12,0,0,,0,0,15,0,15
EDIT_SEED,20260906,1,01223e258bbc7a1f,HARD_EVALUABLE,ALT,evaluation_positive,4,3,0.75,0,0.0,3,0.75,3,0.75,0,0,0,0,0,,0,3,1,1,1
EDIT_SEED,20260906,1,01223e258bbc7a1f,HARD_EVALUABLE,ALT,formal_T1G,4,0,0.0,0,0.0,4,1.0,0,0.0,0,0,0,0,0,,0,0,4,0,4
EDIT_SEED,20260906,1,01223e258bbc7a1f,HARD_EVALUABLE,ALT,formal_T2G,3,2,0.6666666666666666,0,0.0,1,0.3333333333333333,1,0.3333333333333333,0,0,0,0,0,,0,0,1,2,1
EDIT_SEED,20260906,1,01223e258bbc7a1f,HARD_EVALUABLE,ALT,native,1,1,1.0,0,0.0,1,1.0,1,1.0,0,0,0,0,0,,0,1,0,1,0
EDIT_SEED,20260906,1,01223e258bbc7a1f,HARD_EVALUABLE,ALT,same_image_other_source_fact,12,2,0.16666666666666666,3,0.25,3,0.25,3,0.25,1,0,3,1,1,1.0,0,0,10,0,10
EDIT_SEED,20260906,1,01223e258bbc7a1f,HARD_EVALUABLE,ALT,same_question_different_image_conflicting_source_answer,5,1,0.2,2,0.4,3,0.6,2,0.4,0,0,2,0,0,,0,0,4,1,4
EDIT_SEED,20260906,1,01223e258bbc7a1f,HARD_EVALUABLE,R0,broad_unrelated_source_qa,15,0,0.0,12,0.8,12,0.8,12,0.8,1,0,12,1,1,1.0,0,0,15,0,15
EDIT_SEED,20260906,1,01223e258bbc7a1f,HARD_EVALUABLE,R0,evaluation_positive,4,4,1.0,0,0.0,4,1.0,4,1.0,0,0,0,0,0,,0,4,0,0,0
EDIT_SEED,20260906,1,01223e258bbc7a1f,HARD_EVALUABLE,R0,formal_T1G,4,3,0.75,0,0.0,4,1.0,3,0.75,0,0,0,0,0,,0,0,1,1,1
EDIT_SEED,20260906,1,01223e258bbc7a1f,HARD_EVALUABLE,R0,formal_T2G,3,1,0.3333333333333333,0,0.0,3,1.0,1,0.3333333333333333,0,0,0,0,0,,0,0,2,1,2
EDIT_SEED,20260906,1,01223e258bbc7a1f,HARD_EVALUABLE,R0,native,1,1,1.0,0,0.0,1,1.0,1,1.0,0,0,0,0,0,,0,1,0,0,0
EDIT_SEED,20260906,1,01223e258bbc7a1f,HARD_EVALUABLE,R0,same_image_other_source_fact,12,0,0.0,3,0.25,2,0.16666666666666666,3,0.25,2,0,3,2,2,1.0,0,0,12,0,12
EDIT_SEED,20260906,1,01223e258bbc7a1f,HARD_EVALUABLE,R0,same_question_different_image_conflicting_source_answer,5,3,0.6,2,0.4,3,0.6,3,0.6,0,0,2,0,0,,0,0,2,0,2
EDIT_SEED,20260906,2,1534fc99d84ef734,HARD_EVALUABLE,ALT,broad_unrelated_source_qa,15,0,0.0,7,0.4666666666666667,5,0.3333333333333333,7,0.4666666666666667,3,0,7,3,3,1.0,0,0,15,0,15
EDIT_SEED,20260906,2,1534fc99d84ef734,HARD_EVALUABLE,ALT,evaluation_positive,4,4,1.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,,0,0,0,0,0
EDIT_SEED,20260906,2,1534fc99d84ef734,HARD_EVALUABLE,ALT,formal_T1G,4,1,0.25,0,0.0,4,1.0,1,0.25,0,0,0,0,0,,0,0,3,0,3
EDIT_SEED,20260906,2,1534fc99d84ef734,HARD_EVALUABLE,ALT,formal_T2G,4,4,1.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,,0,0,0,0,0
EDIT_SEED,20260906,2,1534fc99d84ef734,HARD_EVALUABLE,ALT,native,1,1,1.0,0,0.0,1,1.0,1,1.0,0,0,0,0,0,,0,1,0,0,0
EDIT_SEED,20260906,2,1534fc99d84ef734,HARD_EVALUABLE,ALT,same_image_other_source_fact,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,,0,0,2,0,2
EDIT_SEED,20260906,2,1534fc99d84ef734,HARD_EVALUABLE,ALT,same_question_different_image_conflicting_source_answer,5,2,0.4,1,0.2,1,0.2,1,0.2,1,0,1,1,1,1.0,0,0,3,0,3
EDIT_SEED,20260906,2,1534fc99d84ef734,HARD_EVALUABLE,R0,broad_unrelated_source_qa,15,0,0.0,7,0.4666666666666667,5,0.3333333333333333,7,0.4666666666666667,3,0,7,3,3,1.0,0,0,15,0,15
EDIT_SEED,20260906,2,1534fc99d84ef734,HARD_EVALUABLE,R0,evaluation_positive,4,4,1.0,0,0.0,4,1.0,4,1.0,0,0,0,0,0,,0,4,0,0,0
EDIT_SEED,20260906,2,1534fc99d84ef734,HARD_EVALUABLE,R0,formal_T1G,4,4,1.0,0,0.0,4,1.0,4,1.0,0,0,0,0,0,,0,0,0,0,0
EDIT_SEED,20260906,2,1534fc99d84ef734,HARD_EVALUABLE,R0,formal_T2G,4,4,1.0,0,0.0,4,1.0,4,1.0,0,0,0,0,0,,0,0,0,0,0
EDIT_SEED,20260906,2,1534fc99d84ef734,HARD_EVALUABLE,R0,native,1,1,1.0,0,0.0,1,1.0,1,1.0,0,0,0,0,0,,0,1,0,0,0
EDIT_SEED,20260906,2,1534fc99d84ef734,HARD_EVALUABLE,R0,same_image_other_source_fact,2,0,0.0,0,0.0,1,0.5,0,0.0,0,0,0,0,0,,0,0,2,0,2
EDIT_SEED,20260906,2,1534fc99d84ef734,HARD_EVALUABLE,R0,same_question_different_image_conflicting_source_answer,5,2,0.4,1,0.2,1,0.2,1,0.2,1,1,1,0,1,0.0,0,0,3,0,3
EDIT_SEED,20260906,3,1b0d2271e842e01a,HARD_EVALUABLE,ALT,broad_unrelated_source_qa,15,0,0.0,4,0.26666666666666666,4,0.26666666666666666,4,0.26666666666666666,1,0,4,1,1,1.0,0,0,15,0,15
EDIT_SEED,20260906,3,1b0d2271e842e01a,HARD_EVALUABLE,ALT,evaluation_positive,4,4,1.0,0,0.0,4,1.0,4,1.0,0,0,0,0,0,,0,4,0,0,0
EDIT_SEED,20260906,3,1b0d2271e842e01a,HARD_EVALUABLE,ALT,formal_T1G,4,3,0.75,0,0.0,4,1.0,3,0.75,0,0,0,0,0,,0,0,1,0,1
